r1,r2,t,sub,rs,condition
0.00200534759358295,0.997994652406417,20,34,0.995989304812834,transition
0.00534759358288772,0.489973262032086,1,35,0.484625668449198,transition
0.0086898395721926,0.5,2,35,0.491310160427807,reward
0.0086898395721926,0.49331550802139,3,35,0.484625668449198,transition
0.0153743315508023,0.496657754010695,4,35,0.481283422459893,transition
0.00534759358288778,0.774064171122995,5,35,0.768716577540107,reward
0.00534759358288778,0.5,6,35,0.494652406417112,control
0.00868983957219259,0.49331550802139,7,35,0.484625668449198,transition
0.00868983957219259,0.503342245989305,8,35,0.494652406417112,control
0.00868983957219259,0.503342245989305,9,35,0.494652406417112,transition
0.00200534759358295,0.5,10,35,0.497994652406417,transition
0.00534759358288772,0.5,11,35,0.494652406417112,reward
0.0086898395721926,0.540106951871658,12,35,0.531417112299465,reward
0.0086898395721926,0.994652406417112,13,35,0.98596256684492,reward
0.0153743315508023,0.5,14,35,0.484625668449198,transition
0.0086898395721926,0.5,15,35,0.491310160427807,reward
0.00868983957219259,0.5,16,35,0.491310160427807,control
0.0153743315508022,0.489973262032086,17,35,0.474598930481283,transition
0.0086898395721926,0.0120320855614974,18,35,0.0033422459893048,control
0.0086898395721926,0.987967914438503,19,35,0.97927807486631,reward
0.0120320855614974,0.49331550802139,20,35,0.481283422459893,reward
0.00200534759358295,0.997994652406417,1,36,0.995989304812834,reward
0.00534759358288772,0.76403743315508,2,36,0.758689839572192,transition
0.00200534759358296,0.760695187165775,3,36,0.758689839572192,transition
0.00200534759358296,0.997994652406417,4,36,0.995989304812834,reward
0.00200534759358296,0.997994652406417,5,36,0.995989304812834,reward
0.00200534759358295,0.757352941176471,6,36,0.755347593582888,transition
0.00200534759358296,0.757352941176471,7,36,0.755347593582888,transition
0.0086898395721926,0.00200534759358295,8,36,-0.00668449197860965,control
0.00534759358288778,0.994652406417112,9,36,0.989304812834225,reward
0.00534759358288772,0.994652406417112,10,36,0.989304812834225,reward
0.00200534759358296,0.760695187165775,11,36,0.758689839572192,transition
0.00534759358288772,0.994652406417112,12,36,0.989304812834225,reward
0.00200534759358296,0.750668449197861,13,36,0.748663101604278,transition
0.00534759358288778,0.754010695187166,14,36,0.748663101604278,transition
0.00534759358288778,0.994652406417112,15,36,0.989304812834225,reward
0.00534759358288778,0.00200534759358295,16,36,-0.00334224598930482,control
0.00534759358288772,0.108957219251337,17,36,0.103609625668449,control
0.00534759358288772,0.00200534759358296,18,36,-0.00334224598930476,control
0.00200534759358295,0.994652406417112,19,36,0.992647058823529,reward
